county,office,district,party,candidate,votes
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,GREEN,JILL STEIN,12
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,DEMOCRATIC,KAMALA D. HARRIS,2140
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,REPUBLICAN,DONALD J. TRUMP,5257
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,LIBERTARIAN,CHASE OLIVER,26
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,U.S. TAXPAYERS,RANDALL TERRY,8
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NATURAL LAW,"ROBERT F. KENNEDY, JR.",32
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NO PARTY AFFILIATION,JOSEPH KISHORE,4
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NO PARTY AFFILIATION,CORNEL WEST,2
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,JAY J BOWMAN,0
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,CLAUDIA DE LA CRUZ,0
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,CHERUNDA LYNN FOX,0
ALCONA,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,PETER SONSKI,2
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,GREEN,JILL STEIN,9
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,DEMOCRATIC,KAMALA D. HARRIS,2075
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,REPUBLICAN,DONALD J. TRUMP,3116
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,LIBERTARIAN,CHASE OLIVER,23
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,U.S. TAXPAYERS,RANDALL TERRY,6
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NATURAL LAW,"ROBERT F. KENNEDY, JR.",28
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NO PARTY AFFILIATION,JOSEPH KISHORE,1
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,NO PARTY AFFILIATION,CORNEL WEST,0
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,JAY J BOWMAN,0
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,CLAUDIA DE LA CRUZ,0
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,CHERUNDA LYNN FOX,0
ALGER,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,WRITE-IN,PETER SONSKI,0
ALLEGAN,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,0,GREEN,JILL STEIN,160
